brick/math                         0.12.3   Arbitrary-precision arithmetic library
carbonphp/carbon-doctrine-types    2.1.0    Types to use Carbon in Doctrine
composer/ca-bundle                 1.5.6    Lets you find a path to the system CA bundle, and includes ...
dflydev/dot-access-data            3.0.3    Given a deep data structure, access data by dot notation.
doctrine/cache                     2.2.0    PHP Doctrine Cache library is a popular cache implementatio...
doctrine/dbal                      3.9.4    Powerful PHP database abstraction layer (DBAL) with many fe...
doctrine/deprecations              1.1.5    A small layer on top of trigger_error(E_USER_DEPRECATED) or...
doctrine/event-manager             2.0.1    The Doctrine Event Manager is a simple PHP event system tha...
doctrine/inflector                 2.0.10   PHP Doctrine Inflector is a small library that can perform ...
doctrine/lexer                     3.0.1    PHP Doctrine Lexer parser library that can be used in Top-D...
dragonmantank/cron-expression      3.4.0    CRON for PHP: Calculate the next or previous run date and d...
egulias/email-validator            4.0.4    A library for validating emails against several RFCs
fakerphp/faker                     1.24.1   Faker is a PHP library that generates fake data for you.
fruitcake/php-cors                 1.3.0    Cross-origin resource sharing library for the Symfony HttpF...
geoip2/geoip2                      3.1.0    MaxMind GeoIP2 PHP API
graham-campbell/result-type        1.1.3    An Implementation Of The Result Type
guzzlehttp/guzzle                  7.9.3    Guzzle is a PHP HTTP client library
guzzlehttp/promises                2.2.0    Guzzle promises library
guzzlehttp/psr7                    2.7.1    PSR-7 message implementation that also provides common util...
guzzlehttp/uri-template            1.0.4    A polyfill class for uri_template of PHP
intervention/gif                   4.2.2    Native PHP GIF Encoder/Decoder
intervention/image                 3.11.2   PHP image manipulation
laravel/framework                  10.48.29 The Laravel Framework.
laravel/prompts                    0.1.25   Add beautiful and user-friendly forms to your command-line ...
laravel/sanctum                    3.3.3    Laravel Sanctum provides a featherweight authentication sys...
laravel/serializable-closure       1.3.7    Laravel Serializable Closure provides an easy and secure wa...
laravel/tinker                     2.10.1   Powerful REPL for the Laravel framework.
league/commonmark                  2.6.1    Highly-extensible PHP Markdown parser which fully supports ...
league/config                      1.2.0    Define configuration arrays with strict schemas and access ...
league/flysystem                   3.29.1   File storage abstraction for PHP
league/flysystem-local             3.29.0   Local filesystem adapter for Flysystem.
league/mime-type-detection         1.16.0   Mime-type detection for Flysystem
maxmind-db/reader                  1.12.0   MaxMind DB Reader API
maxmind/web-service-common         0.10.0   Internal MaxMind Web Service API
monolog/monolog                    3.9.0    Sends your logs to files, sockets, inboxes, databases and v...
nesbot/carbon                      2.73.0   An API extension for DateTime that supports 281 different l...
nette/schema                       1.3.2    📐 Nette Schema: validating data structures against a giv...
nette/utils                        4.0.6    🛠  Nette Utils: lightweight utilities for string & array...
nikic/php-parser                   5.4.0    A PHP parser written in PHP
nunomaduro/termwind                1.17.0   Its like Tailwind CSS, but for the console.
phpoption/phpoption                1.9.3    Option Type for PHP
psr/cache                          3.0.0    Common interface for caching libraries
psr/clock                          1.0.0    Common interface for reading the clock.
psr/container                      2.0.2    Common Container Interface (PHP FIG PSR-11)
psr/event-dispatcher               1.0.0    Standard interfaces for event handling.
psr/http-client                    1.0.3    Common interface for HTTP clients
psr/http-factory                   1.1.0    PSR-17: Common interfaces for PSR-7 HTTP message factories
psr/http-message                   2.0      Common interface for HTTP messages
psr/log                            3.0.2    Common interface for logging libraries
psr/simple-cache                   3.0.0    Common interfaces for simple caching
psy/psysh                          0.12.8   An interactive shell for modern PHP.
ralouphie/getallheaders            3.0.3    A polyfill for getallheaders.
ramsey/collection                  2.1.1    A PHP library for representing and manipulating collections.
ramsey/uuid                        4.7.6    A PHP library for generating and working with universally u...
stevebauman/location               7.5.0    Retrieve a user's location by their IP Address
symfony/console                    6.4.20   Eases the creation of beautiful and testable command line i...
symfony/css-selector               7.2.0    Converts CSS selectors to XPath expressions
symfony/deprecation-contracts      3.5.1    A generic function and convention to trigger deprecation no...
symfony/error-handler              6.4.20   Provides tools to manage errors and ease debugging PHP code
symfony/event-dispatcher           7.2.0    Provides tools that allow your application components to co...
symfony/event-dispatcher-contracts 3.5.1    Generic abstractions related to dispatching event
symfony/finder                     6.4.17   Finds files and directories via an intuitive fluent interface
symfony/http-foundation            6.4.18   Defines an object-oriented layer for the HTTP specification
symfony/http-kernel                6.4.20   Provides a structured process for converting a Request into...
symfony/mailer                     6.4.18   Helps sending emails
symfony/mime                       6.4.19   Allows manipulating MIME messages
symfony/polyfill-ctype             1.31.0   Symfony polyfill for ctype functions
symfony/polyfill-intl-grapheme     1.31.0   Symfony polyfill for intl's grapheme_* functions
symfony/polyfill-intl-idn          1.31.0   Symfony polyfill for intl's idn_to_ascii and idn_to_utf8 fu...
symfony/polyfill-intl-normalizer   1.31.0   Symfony polyfill for intl's Normalizer class and related fu...
